stnm,stid,name,city,rang,cdir,cnty,nlat,elon,elev,cdiv,clas,WCR05,WCS05,A05,N05,BULK5,GRAV5,SAND5,SILT5,CLAY5,TEXT5,WCR10,WCS10,A10,N10,WCR25,WCS25,A25,N25,BULK25,GRAV25,SAND25,SILT25,CLAY25,TEXT25,WCR60,WCS60,A60,N60,BULK60,GRAV60,SAND60,SILT60,CLAY60,TEXT60,WCR75,WCS75,A75,N75,BULK75,GRAV75,SAND75,SILT75,CLAY75,TEXT75,datc,datd
81,RING,Ringling,Ringling,1,N,Jefferson,34.193650,-97.588120,283,South Central,STANDARD,0.024,0.373,0.429,1.39,1.46,0,62.4,27,10.6,Sandy loam,-999,-999,-999,-999,0.071,0.419,0.203,1.26,1.5,0,35.3,25.4,39.3,Clay loam,0.07,0.378,0.256,1.19,1.69,0,29.1,29.1,41.8,Clay,0.061,0.364,0.198,1.19,1.75,0,27.7,31.7,40.6,Clay,19940101,20991231
82,SALL,Sallisaw,Sallisaw,2,SSW,Sequoyah,35.438150,-94.798050,157,East Central,STANDARD,0.051,0.402,0.013,2.25,1.44,0,22.9,61.4,15.7,Silt loam,-999,-999,-999,-999,0.033,0.362,0.037,1.67,1.52,0,21.1,60.1,18.8,Silt loam,0.064,0.404,0.019,1.64,1.65,0,16.1,51.7,32.2,Silty clay loam,0.063,0.394,0.015,1.72,1.71,0,16.2,52.3,31.5,Silty clay loam,19940101,20991231
83,SEIL,Seiling,Seiling,7,WNW,Woodward,36.190330,-99.040300,545,North Central,STANDARD,0.035,0.417,0.173,1.38,1.31,0,39.2,38,22.8,Loam,-999,-999,-999,-999,0.05,0.396,0.155,1.35,1.48,0,35.6,34.4,30,Clay loam,0.046,0.398,0.429,1.41,1.44,0,46.7,26.7,26.7,Sandy clay loam,0.038,0.372,0.341,1.37,1.51,0,52.3,28.6,19.1,Sandy loam,19940101,20991231
143,SEMI,Seminole,Seminole,4,SSW,Seminole,35.176600,-96.700280,292,Central,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20181031,20991231
84,SHAW,Shawnee,Shawnee,3,NNW,Pottawatomie,35.364920,-96.948220,328,Central,STANDARD,0.045,0.369,0.03,1.66,1.6,0,23.2,57.9,18.9,Silt loam,-999,-999,-999,-999,0.042,0.414,0.191,1.38,1.32,0,17.6,54.5,27.9,Silty clay loam,0.067,0.393,0.186,1.15,1.72,0,10.7,43.1,46.3,Silty clay,0.06,0.395,0.072,1.2,1.76,0,9.1,44.8,46.1,Silty clay,19940101,20991231
85,SKIA,Skiatook,Skiatook,4,NW,Osage,36.415300,-96.037060,282,Northeast,STANDARD,0.019,0.438,0.211,1.35,1.19,0,64.2,24.5,11.3,Sandy loam,-999,-999,-999,-999,0.02,0.367,0.393,1.38,1.49,0,64.3,23.8,11.9,Sandy loam,0.056,0.399,0.059,1.29,1.63,0,42.7,15.9,41.4,Clay,0.046,0.364,0.052,1.39,1.7,0,51.4,17.9,30.7,Sandy clay loam,19940101,20991231
86,SLAP,Slapout,Slapout,8,W,Beaver,36.597490,-100.261920,774,Panhandle,STANDARD,0.038,0.351,0.582,1.74,1.68,0,88.1,0,11.9,Loamy sand,-999,-999,-999,-999,0.041,0.363,0.365,1.35,1.64,0,73,7.5,19.5,Sandy loam,0.033,0.333,0.401,1.37,1.75,0,78.1,4.4,17.5,Sandy loam,0.039,0.356,0.026,1.72,1.63,0,46.6,28.9,24.5,Loam,19940101,20991231
87,SPEN,Spencer,Spencer,2,ENE,Oklahoma,35.542080,-97.341460,373,Central,STANDARD,0.028,0.409,0.338,1.35,1.43,0,74.2,9.4,16.4,Sandy loam,-999,-999,-999,-999,0.05,0.365,0.067,1.25,1.76,0,39.8,19.2,41,Clay,0.048,0.357,0.123,1.25,1.75,0,56.6,7.7,35.7,Sandy clay,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
88,STIG,Stigler,Stigler,3,WNW,Haskell,35.265270,-95.181160,173,East Central,STANDARD,0.037,0.327,0.017,1.91,1.83,0,21.9,65.5,12.6,Silt loam,-999,-999,-999,-999,0.044,0.365,0.012,2.24,1.64,0,19.6,66.6,13.8,Silt loam,0.061,0.324,0.125,1.31,1.86,0,15.3,54.8,29.9,Silty clay loam,0.072,0.346,0.135,1.28,1.83,0,11.1,50.5,38.4,Silty clay loam,19940101,20991231
89,STIL,Stillwater,Stillwater,2,W,Payne,36.120930,-97.095270,272,Central,STANDARD,0.091,0.474,0.25,1.27,1.3,0,15.7,49.6,34.8,Silty clay loam,-999,-999,-999,-999,0.055,0.387,0.072,1.36,1.6,0,24.9,47.1,28,Clay loam,0.052,0.381,0.093,1.36,1.58,0,29.4,42,28.6,Clay loam,0.058,0.396,0.077,1.2,1.7,0,25.2,29.7,45.1,Clay,19940101,20991231
90,STUA,Stuart,Stuart,3,SE,Pittsburg,34.876420,-96.069820,256,East Central,STANDARD,0.016,0.357,0.311,1.37,1.54,0,82.6,14.4,2.9,Loamy sand,0.014,0.436,0.657,1.39,0.019,0.358,0.56,1.47,1.53,0,75.4,19.2,5.4,Sandy loam,0.031,0.316,0.123,1.33,1.84,0,74.4,9.2,16.4,Sandy loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
91,SULP,Sulphur,Sulphur,4,NNE,Murray,34.566100,-96.950480,320,South Central,STANDARD,0.068,0.55,0.614,1.37,0.98,0,43.3,22.8,33.9,Clay loam,-999,-999,-999,-999,0.085,0.492,0.344,1.3,1.24,0,38.9,19.1,42,Clay,0.068,0.42,0.457,1.4,1.42,0,50.7,19,30.3,Sandy clay loam,0.048,0.405,0.512,1.47,1.4,0,48.2,26.5,25.3,Sandy clay loam,19940101,20991231
92,TAHL,Tahlequah,Tahlequah,4,N,Cherokee,35.972350,-94.986710,290,East Central,STANDARD,0.019,0.448,0.231,1.36,1.01,0,25.8,61.6,12.6,Silt loam,-999,-999,-999,-999,0.032,0.401,0.063,1.54,1.3,0,21.4,60.4,18.2,Silt loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
138,TALA,Talala,Talala,3.9,NW,Rogers,36.574310,-95.745150,228,Northeast,STANDARD,0.054,0.429,0.024,1.79,1.3,0,30.1,54.6,15.2,Silt loam,0.042,0.396,0.094,1.42,0.055,0.428,0.09,1.41,1.35,0,30,45.7,24.3,Loam,0.088,0.495,0.165,1.25,1.3,0,16,35.6,48.4,Clay,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20140922,20991231
93,TALI,Talihina,Talihina,4,SE,LeFlore,34.710700,-95.011520,204,Southeast,CONTINUITY,0.031,0.396,0.089,1.46,1.36,0,45.4,35.8,18.8,Loam,-999,-999,-999,-999,0.071,0.478,0.077,1.39,1.31,0,23.4,27.2,49.4,Clay,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
94,TIPT,Tipton,Tipton,4,S,Tillman,34.439720,-99.137550,387,Southwest,STANDARD,0.032,0.368,0.139,1.39,1.48,0,42.6,41.6,15.8,Loam,-999,-999,-999,-999,0.034,0.349,0.19,1.36,1.58,0,43.9,38.4,17.6,Loam,0.04,0.388,0.233,1.36,1.45,0,43.1,35.4,21.5,Loam,0.04,0.357,0.101,1.39,1.61,0,42.1,34.6,23.3,Loam,19940101,20991231
95,TISH,Tishomingo,Tishomingo,6,N,Johnston,34.332620,-96.678950,268,South Central,STANDARD,0.038,0.369,0.038,1.63,1.51,0,32,50.4,17.6,Silt loam,-999,-999,-999,-999,0.06,0.402,0.034,1.5,1.58,0,27.4,43.6,29,Clay loam,0.081,0.363,0.178,1.21,1.78,0,15.9,33.1,51,Clay,0.077,0.347,0.186,1.2,1.83,0,18.7,33.9,47.4,Clay,19940101,20991231
96,TULL,Tullahassee,Tullahassee,2,ENE,Wagoner,35.839700,-95.413300,189,Northeast,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,19991104
137,TULN,Tulsa,Tulsa,4.2,NE,Tulsa,36.196660,-95.938830,209,Northeast,STANDARD,0.066,0.476,0.032,1.67,1.17,0,27.3,48.8,23.9,Loam,0.062,0.41,0.05,1.45,0.052,0.371,0.034,1.5,1.7,0,23.1,47.7,29.2,Clay loam,0.066,0.428,0.049,1.26,1.62,0,15,39.9,45.1,Clay,0.046,0.34,0.06,1.3,1.86,0,19.9,50.2,29.9,Silty clay loam,20130626,20991231
140,VALL,Valliant,Valliant,5,SSW,McCurtain,33.938606,-95.114913,120,Southeast,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20151014,20991231
115,VANO,Vanoss,Vanoss,2.4,NE,Pontotoc,34.791460,-96.843810,320,South Central,STANDARD,0.035,0.359,0.091,1.41,1.59,0,52.8,29.6,17.6,Sandy loam,-999,-999,-999,-999,0.063,0.405,0.133,1.16,1.66,0,28,27.4,44.6,Clay,0.073,0.474,0.08,1.21,1.45,0,23.5,26.1,50.3,Clay,0.065,0.442,0.031,1.25,1.63,0,21.5,27.5,51.1,Clay,19980617,20121101
97,VINI,Vinita,Centralia,7,E,Craig,36.775360,-95.220940,236,Northeast,STANDARD,0.053,0.393,0.032,1.63,1.55,0,15.6,64.1,20.3,Silt loam,-999,-999,-999,-999,0.039,0.399,0.108,1.42,1.38,0,25.4,49.9,24.7,Loam,0.101,0.481,0.302,1.23,1.35,0,15.3,29.1,55.6,Clay,0.079,0.491,0.058,1.3,1.4,0,9.6,31,59.4,Clay,19940101,20991231
136,WAL2,Walters,Walters,4,NW,Cotton,34.399570,-98.345690,323,Southwest,STANDARD,0.027,0.376,0.403,1.37,1.52,0,73.2,15.5,11.3,Sandy loam,0.029,0.381,0.535,1.44,0.045,0.383,0.473,1.41,1.54,0,68.2,13.5,18.3,Sandy loam,0.032,0.365,0.57,1.52,1.6,0,81.6,6.5,11.9,Sandy loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20120314,20991231
98,WALT,Walters,Walters,1,NW,Cotton,34.364700,-98.320250,308,Southwest,STANDARD,0.082,0.447,0.24,1.28,1.36,0,17.8,50.3,31.8,Silty clay loam,-999,-999,-999,-999,0.079,0.43,0.194,1.21,1.53,0,14.1,43.6,42.3,Silty clay,0.058,0.388,0.067,1.25,1.71,0,21.2,39.1,39.7,Clay loam,0.06,0.377,0.15,1.16,1.76,0,18.6,41,40.3,Silty clay,19940101,20120313
99,WASH,Washington,Washington,6,SSW,McClain,34.982240,-97.521090,345,Central,STANDARD,0.055,0.394,0.022,1.73,1.54,0,41.2,37.3,21.5,Loam,-999,-999,-999,-999,0.05,0.368,0.078,1.31,1.69,0,43.5,22.2,34.2,Clay loam,0.042,0.282,0.319,1.18,1.95,0,40.7,37.9,21.5,Loam,0.039,0.324,0.039,1.45,1.87,0,27,52.9,20.1,Silt loam,19940101,20991231
100,WATO,Watonga,Watonga,7,W,Blaine,35.841850,-98.526150,517,West Central,STANDARD,0.038,0.372,0.107,1.41,1.5,0,33.7,43.9,22.5,Loam,-999,-999,-999,-999,0.045,0.39,0.11,1.4,1.47,0,28.3,45.1,26.7,Loam,0.052,0.402,0.238,1.35,1.43,0,28.1,42.9,29,Clay loam,0.055,0.37,0.15,1.29,1.64,0,28.3,37.7,33.9,Clay loam,19940101,20991231
101,WAUR,Waurika,Waurika,0.5,ENE,Jefferson,34.167750,-97.988150,283,South Central,STANDARD,0.027,0.388,0.317,1.36,1.45,0,66.1,20.7,13.2,Sandy loam,-999,-999,-999,-999,0.046,0.373,0.13,1.33,1.61,0,53.1,20.9,26,Sandy clay loam,0.034,0.352,0.314,1.35,1.61,0,62.2,22.7,15.1,Sandy loam,0.026,0.313,0.22,1.34,1.77,0,68.5,19.5,12,Sandy loam,19940101,20991231
102,WEAT,Weatherford,Weatherford,4,WSW,Custer,35.508300,-98.775090,538,West Central,STANDARD,0.042,0.44,0.063,1.52,1.19,0,23.7,61.1,15.3,Silt loam,-999,-999,-999,-999,0.034,0.451,0.411,1.37,1.13,0,30.8,49.7,19.5,Loam,0.127,0.503,0.562,1.54,1.02,0,25,65.3,9.7,Silt loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
103,WEBB,Webbers Falls,Webbers Falls,3,S,Muskogee,35.472980,-95.132090,145,East Central,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20080416
132,WEBR,Webbers Falls,Webbers Falls,1.5,S,Muskogee,35.489000,-95.123300,145,East Central,STANDARD,0.037,0.382,0.041,1.63,1.45,0,18.5,65.8,15.7,Silt loam,-999,-999,-999,-999,0.043,0.387,0.168,1.36,1.45,0,12.2,64.6,23.2,Silt loam,0.034,0.39,0.182,1.38,1.36,0,22.3,58.3,19.4,Silt loam,0.026,0.359,0.24,1.37,1.43,0,28.5,57,14.4,Silt loam,20080417,20991231
104,WEST,Westville,Westville,5,WNW,Adair,36.011000,-94.644960,348,East Central,STANDARD,0.022,0.422,0.079,1.51,1.1,0,18.8,67.9,13.3,Silt loam,-999,-999,-999,-999,0.037,0.403,0.142,1.41,1.35,0,11.2,60.7,28.2,Silty clay loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
105,WILB,Wilburton,Wilburton,2,SW,Latimer,34.900920,-95.348050,199,Southeast,STANDARD,0.036,0.382,0.043,1.61,1.42,0,33.1,51.7,15.1,Silt loam,-999,-999,-999,-999,0.043,0.361,0.047,1.51,1.62,0,27.8,51.3,20.9,Silt loam,0.094,0.513,0.228,1.23,1.29,0,17.6,19.8,62.6,Clay,0.105,0.489,0.321,1.2,1.37,0,8.7,27.4,63.9,Clay,19940101,20991231
106,WIST,Wister,Wister,3,ENE,LeFlore,34.984260,-94.687780,143,Southeast,STANDARD,0.053,0.398,0.028,1.7,1.51,0,17.5,61.8,20.8,Silt loam,-999,-999,-999,-999,0.052,0.405,0.115,1.38,1.45,0,9.9,61.2,28.9,Silty clay loam,0.082,0.515,0.109,1.22,1.34,0,8.8,17.9,73.3,Clay,0.079,0.486,0.105,1.21,1.44,0,4.4,24.9,70.8,Clay,19940101,20991231
107,WOOD,Woodward,Woodward,2,WSW,Woodward,36.423290,-99.416820,625,North Central,STANDARD,0.042,0.412,0.184,1.37,1.37,0,35.3,36.2,28.6,Clay loam,-999,-999,-999,-999,0.038,0.423,0.232,1.36,1.3,0,38.2,37,24.9,Loam,0.042,0.421,0.474,1.43,1.3,0,38.9,36.3,24.8,Loam,0.046,0.418,0.497,1.45,1.33,0,42.6,31.9,25.5,Loam,19940101,20991231
108,WYNO,Wynona,Wynona,2,S,Osage,36.518060,-96.342220,269,Northeast,STANDARD,0.059,0.505,0.095,1.41,1.05,0,25.4,48.3,26.3,Loam,-999,-999,-999,-999,0.071,0.438,0.162,1.28,1.41,0,34.2,37,28.8,Clay loam,0.072,0.478,0.055,1.44,1.29,0,27.1,35.2,37.7,Clay loam,0.087,0.394,0.157,1.25,1.69,0,9.8,37.2,53,Clay,19940101,20991231
142,YUKO,Yukon,Yukon,2,N,Canadian,35.556710,-97.755380,407,Central,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20180618,20991231
